"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","49","The class 'ArrayUtils' has a total cyclomatic complexity of 576 (highest 10).","Design","CyclomaticComplexity"
"2","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","774","The method 'isSameLength(Object[], Object[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","792","The method 'isSameLength(long[], long[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","810","The method 'isSameLength(int[], int[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","828","The method 'isSameLength(short[], short[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"6","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","846","The method 'isSameLength(char[], char[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"7","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","864","The method 'isSameLength(byte[], byte[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","882","The method 'isSameLength(double[], double[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"9","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","900","The method 'isSameLength(float[], float[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"10","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","918","The method 'isSameLength(boolean[], boolean[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"11","org.apache.commons.lang3","data/temp/Lang_37f/src/java/org/apache/commons/lang3/ArrayUtils.java","3","1266","The method 'lastIndexOf(Object[], Object, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
